,COMID,LON_DD,LAT_DD,region_vpu,CatArea,WsArea,CatPctFull,WsPctFull,PctImp2006Cat,PctImp2006Ws
203,18105412,-89.016667,31.025,SA_03W,1.7766,138.042,100,100,0.434650456,0.198643891
204,18131280,-89.009124,31.738483,SA_03W,1.9935,101.6685,100,100,0.319638826,0.47060594
205,18155715,-89.748159,31.885047,SA_03W,5.5125,10.3941,100,100,5.154612245,4.942852195
206,18179447,-88.688033,32.023301,SA_03W,1.4499,1.4499,100,100,2.678460583,2.678460583
207,18227941,-87.145475,33.358004,SA_03W,4.2957,20.9394,100,100,0.066624764,0.239233216
208,18227941,-87.145475,33.358004,SA_03W,4.2957,20.9394,100,100,0.066624764,0.239233216
209,18567345,-87.078796,33.551106,SA_03W,5.0607,42.093,100,100,0.003378979,0.3348514
210,18633620,-88.1478,32.70168,SA_03W,1.2987,55.0647,100,100,3.863478863,1.098622166
211,18670272,-87.737937,34.091704,SA_03W,3.8232,3.8232,100,100,0.311440678,0.311440678
212,18695095,-88.405861,34.174278,SA_03W,4.2021,16.7967,100,100,0.327479118,0.254085624
213,21639052,-87.841794,31.556301,SA_03W,0.3312,70.5654,100,100,0,0.529092161
214,21655478,-86.775635,33.42481,SA_03W,5.6691,23.3676,100,100,15.91903477,13.89150362
215,21655990,-86.888167,33.2233,SA_03W,4.4217,4.4217,100,100,0.175656422,0.175656422
216,21712694,-85.417978,32.553423,SA_03W,2.655,60.3954,100,100,0.169830508,1.539877209
217,22202275,-85.759662,33.778638,SA_03W,1.8189,10.9764,100,100,1.041068778,0.295752706
218,22203003,-86.17892,33.97006,SA_03W,4.6287,58.8015,100,100,0.803422127,0.425438127
219,22203253,-86.323648,33.872632,SA_03W,0.9693,11.2446,100,100,0.161559889,0.191531935
220,22273020,-86.4474,33.0184,SA_03W,2.3346,45.0252,100,100,0.102544333,0.091548733
221,22273974,-86.361888,32.993748,SA_03W,0.207,26.1288,100,100,0,0.114735464
222,22274702,-86.324515,32.918449,SA_03W,3.5577,4.0104,100,100,0.062484189,0.091561939
223,22274702,-86.324515,32.918449,SA_03W,3.5577,4.0104,100,100,0.062484189,0.091561939
224,1766972,-92.187296,47.635077,GL_04,17.4816,284.8842,100,100,0.024557249,0.404014684
225,1769706,-92.239156,47.371784,GL_04,9.0666,19.6101,100,100,0.672821124,0.333700491
226,1791105,-91.796476,47.309341,GL_04,6.0696,305.7129,100,100,0.064946619,0.049779057
227,1796805,-90.922288,46.67057,GL_04,0.3645,10.4292,100,100,0.024691358,0.405764584
228,1798349,-91.945211,46.675774,GL_04,5.8023,18.0945,100,100,0.145338917,0.770355633
229,1800079,-92.352585,46.553567,GL_04,2.8746,19.2789,100,100,0.196931747,0.357593016
230,3473045,-85.121226,42.437246,GL_04,8.3736,75.7044,100,100,0.721410146,0.672428551
231,4795042,-89.98978,47.93487,GL_04,7.2432,29.0214,100,100,0.258076541,0.134373256
232,4798208,-90.918389,47.61257,GL_04,11.0952,45.7965,100,100,0.115833874,0.093269136
233,4802914,-91.005535,47.698854,GL_04,1.7523,48.8151,100,100,0.044684129,0.044598905
234,6789381,-89.598689,46.811702,GL_04,2.1924,10.1025,100,100,0.080049261,0.081603563
235,6795165,-90.062364,46.380687,GL_04,12.3732,60.0939,100,100,0.003200466,0.027332225
236,6795165,-90.062364,46.380687,GL_04,12.3732,60.0939,100,100,0.003200466,0.027332225
237,6817998,-88.447384,45.534491,GL_04,3.4632,692.3502,100,100,0.098492723,0.214576525
238,6820256,-88.053339,45.341546,GL_04,4.9788,52.1919,100,100,0.074295011,0.253453122
239,6844165,-88.463056,45.763611,GL_04,12.1446,372.8727,100,100,0.102341782,0.07876361
240,6859814,-87.407316,45.699172,GL_04,0.7605,425.2869,100,100,2.684023669,0.56652227
241,6863191,-88.601905,44.116632,GL_04,7.5303,29.9007,100,100,2.191346958,1.175059447
242,8990106,-85.978537,43.770782,GL_04,28.233,102.4947,100,100,0.19298693,0.223782303
243,8991744,-86.115899,43.526151,GL_04,16.3251,637.2612,100,100,0.437785986,0.957516792
244,9003707,-85.564,43.166,GL_04,5.9733,28.638,100,100,9.927226156,4.040823382
245,9019417,-86.207764,42.330234,GL_04,15.3396,31.3497,100,100,1.075686459,1.189274539
246,9031337,-88.746507,44.866727,GL_04,14.6781,14.6781,100,100,0.07793243,0.07793243
247,9034609,-88.636467,44.17961,GL_04,1.5651,31.3164,100,100,0.133410006,2.520893206
248,9857703,-80.604592,41.846487,GL_04,0.6912,46.0746,100,100,1.282552083,1.018693597
249,9858973,-81.223352,41.516597,GL_04,1.6425,2.7621,100,100,0.809315068,0.600847181
250,9860643,-81.3528,41.4625,GL_04,1.6479,141.9489,100,100,8.838339705,3.977035398
251,11946917,-89.397812,46.532368,GL_04,1.9098,41.5071,100,100,0.458529689,0.400398968
252,12021208,-86.898195,46.313737,GL_04,15.7869,15.7869,100,100,0.518613534,0.518613534
